model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
livej,4847571,68993773,1,3,5361.575768,0,100000,15653.830332,112111,0,8101080,112111,-1,-1,2021-09-29.16:57:48
patent,6009555,16518948,1,3,3435.248156,0,100000,103.001930,106810,0,1506388,106810,-1,-1,2021-09-29.16:58:26
pokec,1632804,30622564,1,3,2368.205872,0,100000,145.423927,84562,0,3273603,84562,-1,-1,2021-09-29.16:58:57
rmat-1m-8m,999760,7810950,1,3,490.391638,0,100000,469.850162,100672,0,22821982,100672,-1,-1,2021-09-29.16:59:01
ssca2,1048577,157877986,1,3,1313.452576,0,100000,1226.510837,1586246,0,120034004,1586246,-1,-1,2021-09-29.17:00:13
wiki-links,5710993,130160392,1,3,10697.525100,0,100000,3363.765001,188473,0,50909831,188473,-1,-1,2021-09-29.17:02:59
wikitalk,2394385,5021410,1,3,621.538837,0,100000,399.807885,100618,0,11026553,100618,-1,-1,2021-09-29.17:03:03
wiki_talk_en,2987536,24981163,1,3,1226.835463,0,100000,777.117306,100074,0,17306060,100074,-1,-1,2021-09-29.17:03:12
ba-1m-8m,1000000,7999964,1,2,741.763454,0,100000,2725.492804,21777,0,305504,0,-1,-1,2021-09-29.17:03:30
baidu,2141301,17794839,1,2,1615.540679,0,100000,462.949796,98603,0,12087432,0,-1,-1,2021-09-29.17:04:03
dbpedia,3966925,13820853,1,2,2086.182309,0,100000,1069.470295,101280,0,2119232,0,-1,-1,2021-09-29.17:04:35
er-1m-8m,1000000,8000000,1,2,967.362515,0,100000,459.531446,39430,0,866988,0,-1,-1,2021-09-29.17:04:56
livej,4847571,68993773,1,2,5068.709370,0,100000,11036.900266,113134,0,16885720,0,-1,-1,2021-09-29.17:06:15
patent,6009555,16518948,1,2,3526.219750,0,100000,453.064060,106736,0,3032808,0,-1,-1,2021-09-29.17:07:02
pokec,1632804,30622564,1,2,2020.272070,0,100000,425.177036,86240,0,6824130,0,-1,-1,2021-09-29.17:07:37
rmat-1m-8m,999760,7810950,1,2,501.806425,0,100000,436.755158,100620,0,45596616,0,-1,-1,2021-09-29.17:07:42
ssca2,1048577,157877986,1,2,1304.675804,0,100000,2118.934563,1584791,0,239975108,0,-1,-1,2021-09-29.17:09:04
wiki-links,5710993,130160392,1,2,8671.860811,0,100000,1297.306310,191507,0,101405042,0,-1,-1,2021-09-29.17:11:54
wikitalk,2394385,5021410,1,2,809.961453,0,100000,467.283281,100503,0,21962712,0,-1,-1,2021-09-29.17:11:59
wiki_talk_en,2987536,24981163,1,2,1276.026277,0,100000,856.514496,99889,0,33863370,0,-1,-1,2021-09-29.17:12:09
ba-1m-8m,1000000,7999964,1,3,654.514978,100000,0,183.104935,21684,166096,1837611,352025,-1,-1,2021-09-29.17:12:14
baidu,2141301,17794839,1,3,1612.888212,100000,0,268.285425,99037,132977,10047480,813849,-1,-1,2021-09-29.17:12:46
dbpedia,3966925,13820853,1,3,1922.161177,100000,0,150.415468,101176,128198,1888151,1109897,-1,-1,2021-09-29.17:13:05
er-1m-8m,1000000,8000000,1,3,1040.792116,100000,0,91.180386,38859,65954,653833,422343,-1,-1,2021-09-29.17:13:16
livej,4847571,68993773,1,3,5569.682524,100000,0,294.402277,111702,157846,10623889,773169,-1,-1,2021-09-29.17:14:18
patent,6009555,16518948,1,3,3639.526835,100000,0,226.360367,106956,184126,2417132,1011992,-1,-1,2021-09-29.17:14:56
pokec,1632804,30622564,1,3,2134.712411,100000,0,242.008334,86233,148122,6044452,721056,-1,-1,2021-09-29.17:15:27
rmat-1m-8m,999760,7810950,1,3,488.744147,100000,0,320.646662,100477,133740,30735178,636096,-1,-1,2021-09-29.17:15:31
