model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
wikitalk,2394385,5021410,1,2,533.172703,0,100000,376.958932,100403,0,22259618,0,-1,2021-09-15.22:48:34
wiki_talk_en,2987536,24981163,1,2,748.629354,0,100000,673.415396,99979,0,34735094,0,-1,2021-09-15.22:48:42
ba-1m-8m,1000000,7999964,1,3,755.362778,0,100000,34.389631,22106,0,155099,22106,-1,2021-09-15.22:48:48
baidu,2141301,17794839,1,3,1319.720493,0,100000,239.290464,98143,0,5846988,98143,-1,2021-09-15.22:49:13
dbpedia,3966925,13820853,1,3,1622.098553,0,100000,556.120068,100507,0,1038350,100507,-1,2021-09-15.22:49:30
er-1m-8m,1000000,8000000,1,3,1255.688755,0,100000,39.241337,39884,0,439551,39884,-1,2021-09-15.22:49:39
livej,4847571,68993773,1,3,4874.702136,0,100000,191.694857,113394,0,8570512,113394,-1,2021-09-15.22:50:30
patent,6009555,16518948,1,3,3556.132869,0,100000,84.268465,106877,0,1517542,106877,-1,2021-09-15.22:51:03
pokec,1632804,30622564,1,3,1847.544666,0,100000,118.443247,86468,0,3448969,86468,-1,2021-09-15.22:51:28
rmat-1m-8m,999760,7810950,1,3,391.758398,0,100000,360.579805,99597,0,20406615,99597,-1,2021-09-15.22:51:33
roadNetCA,1971281,5533214,1,3,579.686822,0,100000,21.730383,61085,0,95717,61085,-1,2021-09-15.22:51:37
ssca2,1048577,157877986,1,3,2161.671782,0,100000,1075.325555,1591610,0,120524467,1591610,-1,2021-09-15.22:52:34
wiki-links,5710993,130160392,1,3,9945.536033,0,100000,1093.263316,182750,0,52034992,182750,-1,2021-09-15.22:54:49
wikitalk,2394385,5021410,1,3,461.473183,0,100000,336.499901,100564,0,11143026,100564,-1,2021-09-15.22:54:53
wiki_talk_en,2987536,24981163,1,3,680.424894,0,100000,711.069014,101202,0,21155531,101202,-1,2021-09-15.22:55:00
ba-1m-8m,1000000,7999964,1,2,642.318504,100000,0,1211.002894,22184,111971,1877050,0,-1,2021-09-15.22:55:17
baidu,2141301,17794839,1,2,1330.632551,100000,0,382.913002,98054,119445,9989836,0,-1,2021-09-15.22:55:44
dbpedia,3966925,13820853,1,2,1614.786812,100000,0,324.500635,100303,117125,1806298,0,-1,2021-09-15.22:56:03
er-1m-8m,1000000,8000000,1,2,1079.382612,100000,0,336.144942,39072,54724,658223,0,-1,2021-09-15.22:56:21
livej,4847571,68993773,1,2,4705.604814,100000,0,505.673911,113507,141584,11254006,0,-1,2021-09-15.22:57:19
patent,6009555,16518948,1,2,3358.326851,100000,0,657.153029,106082,155681,2388947,0,-1,2021-09-15.22:57:59
pokec,1632804,30622564,1,2,1767.044836,100000,0,518.707337,86497,127473,6097929,0,-1,2021-09-15.22:58:28
rmat-1m-8m,999760,7810950,1,2,413.797326,100000,0,354.693234,100648,120813,30978168,0,-1,2021-09-15.22:58:33
roadNetCA,1971281,5533214,1,2,593.974322,100000,0,448.071343,61401,203910,617863,0,-1,2021-09-15.22:58:40
ssca2,1048577,157877986,1,2,1230.329170,100000,0,2169.218216,1590856,1653340,125543178,0,-1,2021-09-15.22:59:44
wiki-links,5710993,130160392,1,2,9279.787775,100000,0,985.298403,181132,198180,52300547,0,-1,2021-09-15.23:02:07
wikitalk,2394385,5021410,1,2,529.502555,100000,0,292.205180,100599,105759,14450176,0,-1,2021-09-15.23:02:11
wiki_talk_en,2987536,24981163,1,2,743.959941,100000,0,447.267311,101111,106902,25440196,0,-1,2021-09-15.23:02:19
ba-1m-8m,1000000,7999964,1,3,757.081069,100000,0,165.920610,-32477,166332,1867066,304910,-1,2021-09-15.23:02:26
baidu,2141301,17794839,1,3,1316.198192,100000,0,206.344065,85737,132148,9843434,659390,[0m,,2021-09-15.23:02:50
dbpedia,3966925,13820853,1,3,1610.610000,100000,0,127.922632,90116,126810,1784523,925386,-1,2021-09-15.23:03:06
er-1m-8m,1000000,8000000,1,3,1238.979781,100000,0,85.692041,28202,66889,665607,403719,-1,2021-09-15.23:03:15
livej,4847571,68993773,1,3,4827.842346,100000,0,246.215120,94210,158389,11416575,693509,-1,2021-09-15.23:04:07
patent,6009555,16518948,1,3,3521.963562,100000,0,197.439875,81923,184455,2437686,922515,-1,2021-09-15.23:04:40
pokec,1632804,30622564,1,3,1847.426646,100000,0,198.146407,65278,149085,6230252,650045,-1,2021-09-15.23:05:04
rmat-1m-8m,999760,7810950,1,3,389.661071,100000,0,265.451097,86440,133520,29188036,509553,[0m,,2021-09-15.23:05:09
roadNetCA,1971281,5533214,1,3,571.367669,100000,0,103.838462,13490,254525,623848,865896,[0m,,2021-09-15.23:05:13
ssca2,1048577,157877986,1,3,2251.949154,100000,0,2433.162377,1532639,1686130,126537411,11868061,[0m,,2021-09-15.23:06:11
wiki-links,5710993,130160392,1,3,9954.746699,100000,0,853.901238,172343,221375,62438965,676556,-1,2021-09-15.23:08:26
wikitalk,2394385,5021410,1,3,456.459196,100000,0,213.698991,96971,109429,14444522,783284,[0m,,2021-09-15.23:08:29
wiki_talk_en,2987536,24981163,1,3,674.705855,100000,0,285.978050,96254,109896,21672144,675881,[0m,,2021-09-15.23:08:36
ba-1m-8m,1000000,7999964,1,2,623.625310,0,100000,250.374754,22000,0,308608,0,-1,2021-09-15.23:08:51
baidu,2141301,17794839,1,2,1335.216836,0,100000,370.964292,98517,0,11917408,0,-1,2021-09-15.23:09:17
dbpedia,3966925,13820853,1,2,1611.775971,0,100000,777.751460,100862,0,2122018,0,-1,2021-09-15.23:09:37
er-1m-8m,1000000,8000000,1,2,1083.931666,0,100000,367.903579,39071,0,858606,0,-1,2021-09-15.23:09:55
livej,4847571,68993773,1,2,4709.597280,0,100000,353.267967,113713,0,16450160,0,-1,2021-09-15.23:10:52
patent,6009555,16518948,1,2,3366.689521,0,100000,363.597187,106460,0,2969788,0,-1,2021-09-15.23:11:33
pokec,1632804,30622564,1,2,1756.728857,0,100000,336.997904,85788,0,6933112,0,-1,2021-09-15.23:12:02
rmat-1m-8m,999760,7810950,1,2,416.715366,0,100000,369.497031,100406,0,45682572,0,-1,2021-09-15.23:12:08
roadNetCA,1971281,5533214,1,2,605.995293,0,100000,179.886264,61128,0,191712,0,-1,2021-09-15.23:12:14
ssca2,1048577,157877986,1,2,1205.458150,0,100000,1798.233139,1598364,0,242285096,0,-1,2021-09-15.23:13:18
wiki-links,5710993,130160392,1,2,9268.800562,0,100000,1120.266514,192242,0,103073298,0,-1,2021-09-15.23:15:40
wikitalk,2394385,5021410,1,2,532.306046,0,100000,378.212520,100456,0,22140116,0,-1,2021-09-15.23:15:45
wiki_talk_en,2987536,24981163,1,2,748.557108,0,100000,719.981036,101108,0,42391828,0,-1,2021-09-15.23:15:53
ba-1m-8m,1000000,7999964,1,3,753.346632,0,100000,34.153199,21897,0,153554,21897,-1,2021-09-15.23:15:59
baidu,2141301,17794839,1,3,1327.176402,0,100000,241.829697,98753,0,6074185,98753,-1,2021-09-15.23:16:24
dbpedia,3966925,13820853,1,3,1612.281745,0,100000,562.839089,101355,0,1068323,101355,-1,2021-09-15.23:16:41
er-1m-8m,1000000,8000000,1,3,1252.675687,0,100000,39.006769,39497,0,435171,39497,-1,2021-09-15.23:16:50
livej,4847571,68993773,1,3,4897.369452,0,100000,191.320165,113190,0,8563794,113190,-1,2021-09-15.23:17:42
patent,6009555,16518948,1,3,3511.704097,0,100000,84.458007,108088,0,1511792,108088,-1,2021-09-15.23:18:15
pokec,1632804,30622564,1,3,1844.921134,0,100000,119.096689,86414,0,3425657,86414,-1,2021-09-15.23:18:39
rmat-1m-8m,999760,7810950,1,3,393.664312,0,100000,391.350907,100786,0,22905016,100786,-1,2021-09-15.23:18:44
roadNetCA,1971281,5533214,1,3,578.399491,0,100000,21.801336,61233,0,95912,61233,-1,2021-09-15.23:18:48
ssca2,1048577,157877986,1,3,2194.942833,0,100000,1079.530754,1592867,0,120765727,1592867,-1,2021-09-15.23:19:46
wiki-links,5710993,130160392,1,3,9913.797286,0,100000,1132.143250,190250,0,56037383,190250,-1,2021-09-15.23:22:00
wikitalk,2394385,5021410,1,3,461.119972,0,100000,331.536811,100578,0,11027817,100578,-1,2021-09-15.23:22:04
wiki_talk_en,2987536,24981163,1,3,678.409943,0,100000,639.757438,100001,0,17280333,100001,-1,2021-09-15.23:22:11
ba-1m-8m,1000000,7999964,1,2,629.487429,100000,0,1201.541925,21931,111474,1863375,0,-1,2021-09-15.23:22:28
baidu,2141301,17794839,1,2,1331.383276,100000,0,388.649706,98825,119846,10324018,0,-1,2021-09-15.23:22:55
