model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
dbpedia,3966925,12610982,16,4,1964.869611,100000,0,98.436743,97960,124877,1403135,10,10,16658,-1,-1,-1,2022-10-07.17:49:01
dbpedia,3966925,12610982,16,4,1950.443994,0,100000,439.353118,100691,0,981664,0,0,0,-1,-1,-1,2022-10-07.17:49:21
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,776.454,413.478,2022-10-07.17:50:04
livej,4847571,42851237,16,4,5026.478268,100000,0,164.110152,111036,157706,6482291,30,33,29212,-1,-1,-1,2022-10-07.17:51:11
livej,4847571,42851237,16,4,4910.685587,0,100000,86.204794,104172,0,3967334,0,0,0,-1,-1,-1,2022-10-07.17:52:14
livej,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,518.105,548.04,2022-10-07.17:54:39
roadNetCA,1971281,2766607,16,4,808.918324,100000,0,72.052184,47215,248778,535350,99,105,145787,-1,-1,-1,2022-10-07.17:54:43
roadNetCA,1971281,2766607,16,4,807.346226,0,100000,32.218008,59402,0,95012,0,0,0,-1,-1,-1,2022-10-07.17:54:47
roadNetCA,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,418.213,149.657,2022-10-07.17:54:55
baidu,2141301,17014946,16,4,1524.703073,100000,0,131.599168,97659,131557,6552310,10,10,21119,-1,-1,-1,2022-10-07.17:55:26
baidu,2141301,17014946,16,4,1517.529660,0,100000,75.359336,93071,0,3466932,0,0,0,-1,-1,-1,2022-10-07.17:55:56
baidu,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,982.567,607.052,2022-10-07.17:56:53
dbpedia,3966925,12610982,16,4,1981.196523,100000,0,75.860107,98154,125754,1414342,13,13,16774,-1,-1,-1,2022-10-07.17:57:14
dbpedia,3966925,12610982,16,4,1960.580063,0,100000,446.907757,101250,0,997708,0,0,0,-1,-1,-1,2022-10-07.17:57:34
dbpedia,-1,-1,16,41,-1,100000,100000,-1,-1,-1,-1,-1,-1,-1,-1,910.918,431.697,2022-10-07.17:58:17
