model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,assert,date
wikitalk,2394385,5021410,1,3,465.804618,0,100000,325.437379,100596,0,22146042,100596,-1,2021-08-21.18:30:34
wiki_talk_en,2987536,24981163,1,3,678.274269,0,100000,681.589369,101055,0,42005222,101055,-1,2021-08-21.18:30:42
ba-1m-8m,1000000,7999964,1,2,656.531793,100000,0,1219.827023,22073,111871,1876086,0,-1,2021-08-21.18:30:59
baidu,2141301,17794839,1,2,1391.666306,100000,0,383.466539,98602,119454,10006229,0,-1,2021-08-21.18:31:25
dbpedia,3966925,13820853,1,2,1686.703461,100000,0,315.227581,100759,116586,1612126,0,-1,2021-08-21.18:31:45
er-1m-8m,1000000,8000000,1,2,939.282565,100000,0,333.292214,39529,54958,660550,0,-1,2021-08-21.18:32:03
livej,4847571,68993773,1,2,4903.087905,100000,0,507.329445,113189,140288,11389916,0,-1,2021-08-21.18:33:01
patent,6009555,16518948,1,2,3489.551558,100000,0,673.518940,106752,157278,2381174,0,-1,2021-08-21.18:33:42
pokec,1632804,30622564,1,2,1833.138480,100000,0,527.431267,86521,127821,6157713,0,-1,2021-08-21.18:34:10
rmat-1m-8m,999760,7810950,1,2,430.972127,100000,0,355.643175,100623,120530,30620401,0,-1,2021-08-21.18:34:16
ssca2,1048577,157877986,1,2,1044.699100,100000,0,2156.291472,1585846,1646156,124967360,0,-1,2021-08-21.18:35:20
wiki-links,5710993,130160392,1,2,9661.049006,100000,0,976.805253,183366,200131,52640864,0,-1,2021-08-21.18:37:43
wikitalk,2394385,5021410,1,2,555.693410,100000,0,299.241880,100567,105806,14538707,0,-1,2021-08-21.18:37:47
wiki_talk_en,2987536,24981163,1,2,781.851646,100000,0,455.723362,101256,106869,25268586,0,-1,2021-08-21.18:37:56
ba-1m-8m,1000000,7999964,1,3,747.578153,100000,0,256.718914,22019,166376,1840269,368007,-1,2021-08-21.18:38:03
