model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,snum,assert,date
dbpedia,3966925,13820853,1,3,1098.072698,100000,0,116.656385,100240,123720,929705,1204350,-1,6400000,-1,2021-10-14.00:10:09
dbpedia,3966925,13820853,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:10:19
dbpedia,3966925,13820853,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:10:28
dbpedia,3966925,13820853,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:10:37
dbpedia,3966925,13820853,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:10:47
er-1m-8m,1000000,8000000,1,3,29.528789,100000,0,129.383233,181188,182499,182586,2913783,-1,100000,-1,2021-10-14.00:10:52
er-1m-8m,1000000,8000000,1,3,71.948850,100000,0,139.999851,148564,157633,159182,2567107,-1,200000,-1,2021-10-14.00:10:58
er-1m-8m,1000000,8000000,1,3,141.009570,100000,0,90.578674,99601,146349,165121,1519274,-1,400000,-1,2021-10-14.00:11:04
er-1m-8m,1000000,8000000,1,3,251.084424,100000,0,163.478334,157399,213131,424064,2232618,-1,800000,-1,2021-10-14.00:11:10
er-1m-8m,1000000,8000000,1,3,387.648561,100000,0,143.975087,44238,284596,913139,749388,-1,1600000,-1,2021-10-14.00:11:17
er-1m-8m,1000000,8000000,1,3,535.451082,100000,0,113.344942,36244,161620,693783,512538,-1,3200000,-1,2021-10-14.00:11:24
er-1m-8m,-1,-1,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:12:31
er-1m-8m,1000000,8000000,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:12:37
er-1m-8m,1000000,8000000,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:12:42
er-1m-8m,1000000,8000000,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2021-10-14.00:12:47
