model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,relabel,tag,subtag,assert,Insert,Delete,date
livej,4847571,68993773,2,4,4762.161337,0,100000,160.030252,114152,0,8553405,0,0,0,-1,-1,-1,2022-09-22.17:32:31
livej,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1140.24,283.292,2022-09-22.17:34:07
patent,6009555,16518948,2,4,3520.017842,100000,0,179.555283,105799,181481,2382787,24,26,50815,-1,-1,-1,2022-09-22.17:34:50
patent,6009555,16518948,2,4,3538.435232,0,100000,84.671510,105600,0,1465772,0,0,0,-1,-1,-1,2022-09-22.17:35:31
patent,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2042.54,223.316,2022-09-22.17:36:16
pokec,1632804,30622564,2,4,1559.028776,100000,0,231.170712,84940,145993,5713288,32,34,40182,-1,-1,-1,2022-09-22.17:36:47
pokec,1632804,30622564,2,4,1561.848039,0,100000,110.439143,84795,0,3177364,0,0,0,-1,-1,-1,2022-09-22.17:37:15
pokec,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2086.04,247.961,2022-09-22.17:38:02
rmat-1m-8m,999760,7810950,2,4,427.121081,100000,0,447.555375,100493,133721,30018987,10,10,20244,-1,-1,-1,2022-09-22.17:38:06
rmat-1m-8m,999760,7810950,2,4,432.347549,0,100000,366.993794,100469,0,22337834,0,0,0,-1,-1,-1,2022-09-22.17:38:10
rmat-1m-8m,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2702.11,955.6,2022-09-22.17:38:23
wiki-links,5710993,130160392,2,4,8800.082153,100000,0,1451.194824,187676,217262,60932566,55,60,18282,-1,-1,-1,2022-09-22.17:41:05
wiki-links,5710993,130160392,2,4,8868.019686,0,100000,1063.487048,187612,0,54751713,0,0,0,-1,-1,-1,2022-09-22.17:43:39
wiki-links,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1778.17,723.144,2022-09-22.17:48:06
wikitalk,2394385,5021410,2,4,373.586110,100000,0,442.116615,100456,109298,14488537,4,4,5412,-1,-1,-1,2022-09-22.17:48:09
wikitalk,2394385,5021410,2,4,369.104772,0,100000,409.135180,100563,0,10984094,0,0,0,-1,-1,-1,2022-09-22.17:48:12
wikitalk,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,906.986,373.925,2022-09-22.17:48:20
wiki_talk_en,2987536,24981163,2,4,664.781583,100000,0,788.903025,101040,110678,25411350,1,1,5859,-1,-1,-1,2022-09-22.17:48:28
wiki_talk_en,2987536,24981163,2,4,661.514486,0,100000,806.032519,101142,0,21240133,0,0,0,-1,-1,-1,2022-09-22.17:48:35
wiki_talk_en,-1,-1,2,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2370.91,856.047,2022-09-22.17:48:52
ba-1m-8m,1000000,7999964,4,4,518.689372,100000,0,123.004425,21945,165649,1806502,0,0,89333,-1,-1,-1,2022-09-22.17:48:58
ba-1m-8m,1000000,7999964,4,4,486.544903,0,100000,20.617579,21987,0,151980,0,0,0,-1,-1,-1,2022-09-22.17:49:01
ba-1m-8m,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20119.4,243.929,2022-09-22.17:49:36
baidu,2141301,17794839,4,4,1461.864901,100000,0,167.538310,97989,131525,9038076,7,8,20882,-1,-1,-1,2022-09-22.17:50:06
baidu,2141301,17794839,4,4,1455.139056,0,100000,133.130531,97920,0,5375775,0,0,0,-1,-1,-1,2022-09-22.17:50:35
baidu,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,729.604,310.499,2022-09-22.17:51:07
dbpedia,3966925,13820853,4,4,1898.222909,100000,0,99.674352,100143,126914,1598967,15,15,16614,-1,-1,-1,2022-09-22.17:51:26
dbpedia,3966925,13820853,4,4,1882.192029,0,100000,535.019409,100864,0,906761,0,0,0,-1,-1,-1,2022-09-22.17:51:46
dbpedia,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,797.972,301.648,2022-09-22.17:52:16
er-1m-8m,1000000,8000000,4,4,772.146264,100000,0,39.327621,38843,65284,629286,0,0,15255,-1,-1,-1,2022-09-22.17:52:27
er-1m-8m,1000000,8000000,4,4,778.066463,0,100000,28.315537,38578,0,412615,0,0,0,-1,-1,-1,2022-09-22.17:52:38
er-1m-8m,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2048.61,192.077,2022-09-22.17:52:54
livej,4847571,68993773,4,4,4790.712787,100000,0,176.858164,114103,159886,10489945,6,6,28021,-1,-1,-1,2022-09-22.17:53:57
livej,4847571,68993773,4,4,4758.370692,0,100000,94.244153,113420,0,7737716,0,0,0,-1,-1,-1,2022-09-22.17:54:58
livej,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,757.553,253.859,2022-09-22.17:56:33
patent,6009555,16518948,4,4,3529.358921,100000,0,105.048504,105333,181128,2318279,27,29,50946,-1,-1,-1,2022-09-22.17:57:16
patent,6009555,16518948,4,4,3542.469854,0,100000,52.347460,103714,0,1386385,0,0,0,-1,-1,-1,2022-09-22.17:57:57
patent,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1344.09,201.118,2022-09-22.17:58:42
pokec,1632804,30622564,4,4,1570.390226,100000,0,132.488940,84723,145639,5430182,29,31,40110,-1,-1,-1,2022-09-22.17:59:13
pokec,1632804,30622564,4,4,1604.212652,0,100000,63.337752,84272,0,2981113,0,0,0,-1,-1,-1,2022-09-22.17:59:41
pokec,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1922.99,238.896,2022-09-22.18:00:28
rmat-1m-8m,999760,7810950,4,4,427.567479,100000,0,317.209550,100397,133665,27988256,7,7,20328,-1,-1,-1,2022-09-22.18:00:32
rmat-1m-8m,999760,7810950,4,4,431.750167,0,100000,220.225712,100277,0,21191433,0,0,0,-1,-1,-1,2022-09-22.18:00:35
rmat-1m-8m,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2811.14,1000.1,2022-09-22.18:00:49
wiki-links,5710993,130160392,4,4,8796.927079,100000,0,1097.430840,187607,217888,56827525,63,68,18977,-1,-1,-1,2022-09-22.18:03:30
wiki-links,5710993,130160392,4,4,8769.845172,0,100000,668.044560,187379,0,51351327,0,0,0,-1,-1,-1,2022-09-22.18:06:04
wiki-links,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1100.84,572.432,2022-09-22.18:10:30
wikitalk,2394385,5021410,4,4,375.916916,100000,0,358.754055,100273,109117,14074265,4,4,5441,-1,-1,-1,2022-09-22.18:10:33
wikitalk,2394385,5021410,4,4,374.602820,0,100000,249.150657,100484,0,10846847,0,0,0,-1,-1,-1,2022-09-22.18:10:36
wikitalk,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,840.176,365.402,2022-09-22.18:10:44
wiki_talk_en,2987536,24981163,4,4,669.238906,100000,0,671.664679,100820,110423,24564843,0,0,5838,-1,-1,-1,2022-09-22.18:10:52
wiki_talk_en,2987536,24981163,4,4,663.207135,0,100000,487.869753,101096,0,21026203,0,0,0,-1,-1,-1,2022-09-22.18:10:59
wiki_talk_en,-1,-1,4,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2569.7,920.634,2022-09-22.18:11:16
ba-1m-8m,1000000,7999964,8,4,511.759383,100000,0,88.983546,21602,165168,1688084,0,0,89321,-1,-1,-1,2022-09-22.18:11:22
ba-1m-8m,1000000,7999964,8,4,488.968431,0,100000,19.001878,21800,0,147578,0,0,0,-1,-1,-1,2022-09-22.18:11:25
ba-1m-8m,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,20928.6,254.349,2022-09-22.18:12:01
baidu,2141301,17794839,8,4,1474.904001,100000,0,147.239227,97737,131062,7642897,10,11,20785,-1,-1,-1,2022-09-22.18:12:31
baidu,2141301,17794839,8,4,1464.558734,0,100000,101.829866,95075,0,4527220,0,0,0,-1,-1,-1,2022-09-22.18:13:01
baidu,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,831.773,405.211,2022-09-22.18:13:33
dbpedia,3966925,13820853,8,4,1899.160022,100000,0,93.481268,99131,126014,1468629,13,13,16574,-1,-1,-1,2022-09-22.18:13:53
dbpedia,3966925,13820853,8,4,1891.194504,0,100000,540.981019,100828,0,906643,0,0,0,-1,-1,-1,2022-09-22.18:14:12
dbpedia,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,777.427,384.922,2022-09-22.18:14:42
er-1m-8m,1000000,8000000,8,4,782.833068,100000,0,32.069111,38499,65045,586334,0,0,15225,-1,-1,-1,2022-09-22.18:14:54
er-1m-8m,1000000,8000000,8,4,777.581260,0,100000,20.305422,35459,0,379004,0,0,0,-1,-1,-1,2022-09-22.18:15:04
er-1m-8m,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2157.87,201.647,2022-09-22.18:15:21
livej,4847571,68993773,8,4,4814.897765,100000,0,157.893892,113805,159509,8469750,5,5,28064,-1,-1,-1,2022-09-22.18:16:24
livej,4847571,68993773,8,4,4794.862010,0,100000,71.111012,108281,0,6468973,0,0,0,-1,-1,-1,2022-09-22.18:17:25
livej,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,591.579,317.71,2022-09-22.18:19:00
patent,6009555,16518948,8,4,3545.733463,100000,0,82.409577,104581,180575,2128150,27,29,50894,-1,-1,-1,2022-09-22.18:19:44
patent,6009555,16518948,8,4,3546.804199,0,100000,43.144285,96244,0,1207621,0,0,0,-1,-1,-1,2022-09-22.18:20:25
patent,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1208.23,301.762,2022-09-22.18:21:09
pokec,1632804,30622564,8,4,1565.124155,100000,0,95.987159,84281,145153,4877123,31,34,40075,-1,-1,-1,2022-09-22.18:21:40
pokec,1632804,30622564,8,4,1563.454355,0,100000,47.267468,77738,0,2538481,0,0,0,-1,-1,-1,2022-09-22.18:22:09
pokec,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1903.77,311.713,2022-09-22.18:22:56
rmat-1m-8m,999760,7810950,8,4,429.155001,100000,0,305.030024,100054,133272,23209268,7,7,20461,-1,-1,-1,2022-09-22.18:23:00
rmat-1m-8m,999760,7810950,8,4,432.439119,0,100000,171.707659,96758,0,18816525,0,0,0,-1,-1,-1,2022-09-22.18:23:03
rmat-1m-8m,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3000.91,1133.04,2022-09-22.18:23:17
wiki-links,5710993,130160392,8,4,8814.326431,100000,0,1048.986049,187525,217821,47854957,63,68,18992,-1,-1,-1,2022-09-22.18:25:59
wiki-links,5710993,130160392,8,4,8916.590599,0,100000,554.575164,184197,0,43551459,0,0,0,-1,-1,-1,2022-09-22.18:28:33
wiki-links,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,849.303,597.862,2022-09-22.18:32:59
wikitalk,2394385,5021410,8,4,378.461045,100000,0,348.302190,100015,108726,13190154,3,3,5406,-1,-1,-1,2022-09-22.18:33:03
wikitalk,2394385,5021410,8,4,375.840512,0,100000,201.120698,99567,0,10668281,0,0,0,-1,-1,-1,2022-09-22.18:33:06
wikitalk,-1,-1,8,41,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,829.918,413.951,2022-09-22.18:33:14
wiki_talk_en,2987536,24981163,8,4,673.934702,100000,0,668.478466,100657,110164,22995788,1,1,5823,-1,-1,-1,2022-09-22.18:33:22
wiki_talk_en,2987536,24981163,8,4,671.242474,0,100000,376.087616,100425,0,20699430,0,0,0,-1,-1,-1,2022-09-22.18:33:29
