model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,date
livej,4847571,68993773,1,3,5217.062768,0,100000,227.572372,112025,0,0,112025,2021-08-10.22:19:38
patent,6009555,16518948,1,3,3753.321315,0,100000,102.915694,107718,0,0,107718,2021-08-10.22:21:41
pokec,1632804,30622564,1,3,2319.237134,0,100000,145.120999,85395,0,0,85395,2021-08-10.22:22:12
rmat-1m-8m,999760,7810950,1,3,550.795509,0,100000,465.032784,100472,0,0,100472,2021-08-10.22:22:17
ssca2,1048577,157877986,1,3,2075.916110,0,100000,1243.182473,1586453,0,0,1586453,2021-08-10.22:23:34
wiki-links,5710993,130160392,1,3,10735.475417,0,100000,1183.719556,188085,0,0,188085,2021-08-10.22:26:21
wikitalk,2394385,5021410,1,3,600.635416,0,100000,378.293898,99922,0,0,99922,2021-08-10.22:26:39
wiki_talk_en,2987536,24981163,1,3,882.766582,0,100000,22538.363134,101175,0,0,101175,2021-08-10.22:27:10
ba-1m-8m,1000000,7999964,1,2,814.886935,100000,0,1827.325273,21975,111891,1844600,0,2021-08-10.22:27:41
baidu,2141301,17794839,1,2,1672.617519,100000,0,449.007632,99171,120586,10468460,0,2021-08-10.22:28:16
dbpedia,3966925,13820853,1,2,2185.964572,100000,0,380.160849,100891,117616,1695813,0,2021-08-10.22:28:43
er-1m-8m,1000000,8000000,1,2,996.850402,100000,0,930.778604,39320,54701,658316,0,2021-08-10.22:29:15
livej,4847571,68993773,1,2,5178.300350,100000,0,688.064648,114678,142479,11414648,0,2021-08-10.22:30:30
patent,6009555,16518948,1,2,3705.082786,100000,0,1635.178484,106973,159005,2459327,0,2021-08-10.22:31:42
pokec,1632804,30622564,1,2,2008.777538,100000,0,612.626082,85944,126089,6004161,0,2021-08-10.22:32:22
rmat-1m-8m,999760,7810950,1,2,562.150795,100000,0,390.735141,100462,120333,30538466,0,2021-08-10.22:32:28
ssca2,1048577,157877986,1,2,1402.807148,100000,0,2450.172304,1593804,1653166,125469993,0,2021-08-10.22:34:00
wiki-links,5710993,130160392,1,2,9184.450865,100000,0,1643.298135,187010,203112,55951333,0,2021-08-10.22:37:04
wikitalk,2394385,5021410,1,2,803.116143,100000,0,371.167848,100737,105819,15002531,0,2021-08-10.22:37:17
wiki_talk_en,2987536,24981163,1,2,1319.076242,100000,0,706.697270,99983,105784,20998234,0,2021-08-10.22:37:28
ba-1m-8m,1000000,7999964,1,3,832.192279,100000,0,299.299160,21899,166748,1841862,362350,2021-08-10.22:37:39
baidu,2141301,17794839,1,3,1696.875654,100000,0,259.467615,98327,131630,9880987,813760,2021-08-10.22:38:13
dbpedia,3966925,13820853,1,3,1935.299068,100000,0,152.892869,101625,128072,1742160,1136109,2021-08-10.22:39:28
er-1m-8m,1000000,8000000,1,3,1279.300962,100000,0,103.357034,39612,67200,668553,433583,2021-08-10.22:39:41
livej,4847571,68993773,1,3,5379.666146,100000,0,499.875219,111747,156903,11224804,770546,2021-08-10.22:41:12
patent,6009555,16518948,1,3,3797.721637,100000,0,271.896995,107684,185402,2459648,1013480,2021-08-10.22:43:19
pokec,1632804,30622564,1,3,2292.313512,100000,0,276.040237,86488,148200,6179468,718956,2021-08-10.22:43:54
rmat-1m-8m,999760,7810950,1,3,513.551872,100000,0,446.698997,100630,134128,30911565,641349,2021-08-10.22:44:08
ssca2,1048577,157877986,1,3,1982.265180,100000,0,11379.175293,1591941,1682052,126065919,11958796,2021-08-10.22:45:40
wiki-links,5710993,130160392,1,3,10149.045971,100000,0,6018.692404,186841,216575,64731576,761910,2021-08-10.22:48:43
wikitalk,2394385,5021410,1,3,619.356383,100000,0,305.366214,100591,109090,14493073,1097737,2021-08-10.22:49:10
wiki_talk_en,2987536,24981163,1,3,873.866264,100000,0,437.305361,99878,109150,21262473,949015,2021-08-10.22:50:04
ba-1m-8m,1000000,7999964,1,2,771.480679,0,100000,334.375063,22014,0,0,0,2021-08-10.22:50:30
baidu,2141301,17794839,1,2,1648.085378,0,100000,440.318580,98808,0,0,0,2021-08-10.22:51:05
dbpedia,3966925,13820853,1,2,2166.883766,0,100000,881.519388,102292,0,0,0,2021-08-10.22:51:37
er-1m-8m,1000000,8000000,1,2,1092.041282,0,100000,470.932633,39019,0,0,0,2021-08-10.22:52:09
livej,4847571,68993773,1,2,5247.818673,0,100000,439.749852,113273,0,0,0,2021-08-10.22:53:25
patent,6009555,16518948,1,2,3665.429358,0,100000,478.559362,107232,0,0,0,2021-08-10.22:54:22
pokec,1632804,30622564,1,2,1990.556476,0,100000,437.322265,85342,0,0,0,2021-08-10.22:55:01
rmat-1m-8m,999760,7810950,1,2,559.753821,0,100000,416.000589,99390,0,0,0,2021-08-10.22:55:07
ssca2,1048577,157877986,1,2,1372.658166,0,100000,2040.902402,1579459,0,0,0,2021-08-10.22:56:37
wiki-links,5710993,130160392,1,2,9380.605771,0,100000,1315.839170,188188,0,0,0,2021-08-10.22:59:40
wikitalk,2394385,5021410,1,2,814.533861,0,100000,467.434493,100590,0,0,0,2021-08-10.22:59:46
wiki_talk_en,2987536,24981163,1,2,1310.741310,0,100000,809.113388,100071,0,0,0,2021-08-10.22:59:56
ba-1m-8m,1000000,7999964,1,3,829.043763,0,100000,44.332891,21792,0,0,21792,2021-08-10.23:00:13
baidu,2141301,17794839,1,3,1710.247029,0,100000,299.404378,98598,0,0,98598,2021-08-10.23:00:46
dbpedia,3966925,13820853,1,3,1891.539779,0,100000,819.023630,100924,0,0,100924,2021-08-10.23:01:54
er-1m-8m,1000000,8000000,1,3,1255.845540,0,100000,50.407370,39764,0,0,39764,2021-08-10.23:02:06
livej,4847571,68993773,1,3,5463.818447,0,100000,234.119876,112645,0,0,112645,2021-08-10.23:03:11
patent,6009555,16518948,1,3,3764.546188,0,100000,113.374845,106674,0,0,106674,2021-08-10.23:05:14
