model,N,M,workers,alg,init-mstime,insert-num,remove-num,mstime,V*,V+,S,tag,batch-repeat,assert,date
er-1m-8m,1000000,8000000,1,13,860.680561,100000,0,119.640110,39510,62720,631097,53556,5,-1,2021-10-10.16:27:33
livej,4847571,68993773,1,13,4635.411354,100000,0,304.695217,113227,153761,10841714,137137,4,-1,2021-10-10.16:28:22
patent,6009555,16518948,1,13,3241.632279,100000,0,254.520242,108250,173738,2294168,150209,3,-1,2021-10-10.16:28:55
pokec,1632804,30622564,1,13,1717.009476,100000,0,219.967668,86005,133781,5233523,115131,4,-1,2021-10-10.16:29:19
rmat-1m-8m,999760,7810950,1,13,380.385359,100000,0,259.509499,99503,117942,23441922,109649,9,-1,2021-10-10.16:29:24
roadNetCA,1971281,5533214,1,13,510.307950,100000,0,154.588410,61600,231562,563492,187250,4,-1,2021-10-10.16:29:27
ssca2,1048577,157877986,1,13,950.049298,100000,0,1864.747733,1590911,1594753,120722357,2362851,5,-1,2021-10-10.16:30:22
wiki-links,5710993,130160392,1,13,9052.905844,100000,0,904.773837,188706,211804,53970970,201977,6,-1,2021-10-10.16:32:32
wikitalk,2394385,5021410,1,13,420.748208,100000,0,188.951398,100598,105590,12774986,103359,10,-1,2021-10-10.16:32:35
wiki_talk_en,2987536,24981163,1,13,627.051709,100000,0,318.599379,101108,106198,22822995,103885,9,-1,2021-10-10.16:32:43
ba-1m-8m,1000000,7999964,1,2,629.072264,100000,0,1222.157059,22169,111826,1856147,0,-1,-1,2021-10-10.16:32:59
baidu,2141301,17794839,1,2,1343.691318,100000,0,448.134920,103224,124604,14516134,0,-1,-1,2021-10-10.16:33:25
dbpedia,3966925,13820853,1,2,1624.361934,100000,0,320.434775,100570,117176,1633197,0,-1,-1,2021-10-10.16:33:45
er-1m-8m,1000000,8000000,1,2,930.464717,100000,0,329.144454,39510,55197,664169,0,-1,-1,2021-10-10.16:34:03
livej,4847571,68993773,1,2,4696.975673,100000,0,509.065997,113227,141218,11470203,0,-1,-1,2021-10-10.16:34:59
patent,6009555,16518948,1,2,3371.918728,100000,0,680.894897,108250,158743,2491086,0,-1,-1,2021-10-10.16:35:40
pokec,1632804,30622564,1,2,1776.832110,100000,0,522.150792,86005,126140,6073015,0,-1,-1,2021-10-10.16:36:07
